93.159.189.154:4153|Poland|Lesser Poland|Zakopane
85.196.136.9:4153|Bulgaria|Stara Zagora|Stara Zagora
85.196.136.17:4153|Bulgaria|Stara Zagora|Stara Zagora
151.232.18.66:5678|Iran|Fars|Shiraz
108.175.24.1:13135|United States|Texas|Liberty
70.185.95.177:39593|United States|Arkansas|Springdale
103.124.197.78:1080|Indonesia|Riau|Batam
197.157.219.169:4145|Nigeria|Lagos|Lagos
129.126.99.254:4153|Singapore|South West|Singapore
103.111.219.138:4145|Indonesia|West Papua|Manokwari
170.238.180.21:4145|Brazil|Parana|Quarto Centenario
81.163.254.104:3629|Russia|Leningrad Oblast|Staraya
181.212.10.89:4153|Chile|Region de Valparaiso|Villa Alemana
144.76.241.45:7890|Netherlands|North Holland|Amsterdam
50.236.148.246:31699|United States|Illinois|Oak Park
103.36.35.251:5678|Indonesia|Jakarta|Jakarta
114.8.134.53:5678|Indonesia|West Java|Bandung
103.116.203.244:40927|Indonesia|Jakarta|Grogol
103.25.122.41:44550|Bangladesh|Dhaka Division|Dhaka
1.179.173.114:4153|Thailand|Buriram|Buriram
185.20.26.41:43051|Iraq|Basra|Basrah
190.205.42.44:1080|Venezuela|Bolívar|Ciudad Bolívar
202.91.177.65:4145|China|Beijing|Jinrongjie
81.199.14.49:1088|United Kingdom|England|London
36.95.173.178:4153|Indonesia|Banten|Cilegon
103.8.59.1:4145|Indonesia|Jakarta|Jakarta
49.0.32.154:10801|Bangladesh|Dhaka Division|Dhaka
36.66.71.27:5678|Indonesia|Jakarta|Tanjung Barat
103.109.59.117:1080|Bangladesh|Chittagong|Feni
217.12.201.56:11337|United States|New York|New York
109.224.34.18:52015|Iraq|Baghdad|Baghdad
213.6.204.153:42820|Palestine|Ramallah|Ramallah
45.122.44.17:5678|India|National Capital Territory of Delhi|Delhi
82.137.224.193:8291|Syria|Damascus Governorate|Damascus
200.0.247.83:4153|Argentina|Buenos Aires F.D.|Retiro
